Year,Age,Gender,Rate
2016,23,Female,20765902692
2016,24,Female,35692492774
2016,25,Female,58555739797
2016,26,Female,79885873476
2016,27,Female,1.12E+11
2016,28,Female,1.68E+11
2016,29,Female,2.20E+11
2016,30,Female,2.75E+11
2016,31,Female,3.19E+11
2016,32,Female,3.60E+11
2016,33,Female,4.18E+11
2016,34,Female,4.42E+11
2016,35,Female,4.64E+11
2016,36,Female,4.73E+11
2016,37,Female,4.65E+11
2016,38,Female,4.77E+11
2016,39,Female,4.73E+11
2016,40,Female,5.07E+11
2016,41,Female,5.03E+11
2016,42,Female,1.42E+12
2016,43,Female,4.72E+11
2016,44,Female,5.23E+11
2016,45,Female,5.71E+11
2016,46,Female,6.06E+11
2016,47,Female,5.35E+11
2016,48,Female,5.46E+11
2016,49,Female,5.12E+11
2016,50,Female,5.51E+11
2016,51,Female,5.31E+11
2016,52,Female,5.13E+11
2016,53,Female,5.23E+11
2016,54,Female,4.34E+11
2016,55,Female,3.61E+11
2016,56,Female,2.96E+11
2016,57,Female,2.21E+11
2016,58,Female,1.68E+11
2016,59,Female,1.24E+11
2016,60,Female,1.01E+11
2016,61,Female,84612059355
2016,62,Female,65626910760
2016,63,Female,52777399829
2016,64,Female,36119371744
2016,65,Female,27698821494
2016,66,Female,21421837986
2016,67,Female,15696401990
2016,68,Female,9507415545
2016,69,Female,5081583375
2016,70,Female,2209591207
2016,71,Female,1223958024
2016,72,Female,529214545.4
2016,73,Female,133878761.3
2016,74,Female,5425444.767
2016,75,Female,620898.9315
2016,81,Female,779178.0822
2016,84,Female,1386301.37
2017,18,Female,136586027.4
2017,19,Female,1312889433
2017,20,Female,3078851221
2017,21,Female,3326544477
2017,22,Female,6978607626
2017,23,Female,10599891870
2017,24,Female,16689109346
2017,25,Female,28754161352
2017,26,Female,48250864802
2017,27,Female,66998444437
2017,28,Female,98947168922
2017,29,Female,1.48E+11
2017,30,Female,1.97E+11
2017,31,Female,2.47E+11
2017,32,Female,2.88E+11
2017,33,Female,3.27E+11
2017,34,Female,3.77E+11
2017,35,Female,4.01E+11
2017,36,Female,4.17E+11
2017,37,Female,4.24E+11
2017,38,Female,4.20E+11
2017,39,Female,4.23E+11
2017,40,Female,4.17E+11
2017,41,Female,4.51E+11
2017,42,Female,4.43E+11
2017,43,Female,1.27E+12
2017,44,Female,4.18E+11
2017,45,Female,4.73E+11
2017,46,Female,5.14E+11
2017,47,Female,5.45E+11
2017,48,Female,4.78E+11
2017,49,Female,4.90E+11
2017,50,Female,4.60E+11
2017,51,Female,4.95E+11
2017,52,Female,4.73E+11
2017,53,Female,4.62E+11
2017,54,Female,4.64E+11
2017,55,Female,3.69E+11
2017,56,Female,3.03E+11
2017,57,Female,2.48E+11
2017,58,Female,1.76E+11
2017,59,Female,1.21E+11
2017,60,Female,88876396699
2017,61,Female,86076353001
2017,62,Female,72726913271
2017,63,Female,56439895644
2017,64,Female,43853222426
2017,65,Female,30725865984
2017,66,Female,23918761259
2017,67,Female,18602912711
2017,68,Female,12979487548
2017,69,Female,5873208386
2017,70,Female,2309351260
2017,71,Female,1464049470
2017,72,Female,1119583934
2017,73,Female,479491169.5
2017,74,Female,111357494
2017,75,Female,154430.8164
2017,76,Female,197103.4027
2001,18,Male,106728904.1
2001,19,Male,190642147.1
2001,20,Male,485302300.4
2001,21,Male,483868296.4
2001,22,Male,1205401839
2001,23,Male,1987546938
2001,24,Male,3551610484
2001,25,Male,4356525864
2001,26,Male,6620936345
2001,27,Male,10083613015
2001,28,Male,13002476876
2001,29,Male,17106524018
2001,30,Male,23926797169
2001,31,Male,24267063817
2001,32,Male,26441246038
2001,33,Male,25745042729
2001,34,Male,24811300302
2001,35,Male,26737982326
2001,36,Male,31257652024
2001,37,Male,33130346369
2001,38,Male,33718570543
2001,39,Male,32494641541
2001,40,Male,32161782676
2001,41,Male,50393044838
2001,42,Male,29177754331
2001,43,Male,28149568863
2001,44,Male,25536912192
2001,45,Male,24894325891
2001,46,Male,24158624217
2001,47,Male,23491486240
2001,48,Male,21084044445
2001,49,Male,18309728882
2001,50,Male,16078450291
2001,51,Male,12622534663
2001,52,Male,9913685208
2001,53,Male,7304985725
2001,54,Male,7153087619
2001,55,Male,5320320267
2001,56,Male,3482736974
2001,57,Male,2190998685
2001,58,Male,2239480521
2001,59,Male,1574606292
2001,60,Male,1173056848
2001,61,Male,1958591091
2001,62,Male,523638756.5
2001,63,Male,478807002.7
2001,64,Male,302361753.3
2001,65,Male,237456851.9
2001,66,Male,22836761.64
2001,67,Male,127483561.6
2001,68,Male,25021232.88
2001,69,Male,59955068.49
2001,71,Male,47000000
2001,74,Male,100000000
2001,75,Male,39452054.79
2002,18,Male,2743668.329
2002,19,Male,313903939.9
2002,20,Male,669222656.4
2002,21,Male,967610269.9
2002,22,Male,2204697391
2002,23,Male,2652476946
2002,24,Male,4412451711
2002,25,Male,7857399675
2002,26,Male,9661783348
2002,27,Male,15055791748
2002,28,Male,20364020959
2002,29,Male,25866580390
2002,30,Male,33355940256
2002,31,Male,44038008591
2002,32,Male,44835691036
2002,33,Male,47260342350
2002,34,Male,47054732426
2002,35,Male,45211214435
2002,36,Male,49237182564
2002,37,Male,55485570135
2002,38,Male,61573076255
2002,39,Male,58721365238
2002,40,Male,54325039849
2002,41,Male,52491070896
2002,42,Male,69260330044
2002,43,Male,47224424105
2002,44,Male,43988263986
2002,45,Male,44079213233
2002,46,Male,40229810618
2002,47,Male,39541135702
2002,48,Male,34463462886
2002,49,Male,34211345730
2002,50,Male,28008572565
2002,51,Male,24015143882
2002,52,Male,20650009246
2002,53,Male,15244870037
2002,54,Male,12384707650
2002,55,Male,10276856780
2002,56,Male,6037877287
2002,57,Male,4605811967
2002,58,Male,3931378490
2002,59,Male,2509309568
2002,60,Male,2623290590
2002,61,Male,1250333018
2002,62,Male,1296166216
2002,63,Male,699681837.1
2002,64,Male,293482468.5
2002,65,Male,256021064.9
2002,66,Male,253080418.9
2002,67,Male,127134246.6
2002,68,Male,189041917.8
2002,69,Male,575342.4658
2002,70,Male,49295890.41
2002,72,Male,47000000
2002,75,Male,100000000
2002,76,Male,50000000
2003,18,Male,1517186.74
2003,19,Male,5374469.041
2003,20,Male,913206125.8
2003,21,Male,1407885009
2003,22,Male,1825215080
2003,23,Male,4398347152
2003,24,Male,5289692780
2003,25,Male,9281685573
2003,26,Male,13210064216
2003,27,Male,18964616396
2003,28,Male,23443329869
2003,29,Male,34851134381
2003,30,Male,37281194120
2003,31,Male,51401673404
2003,32,Male,62257605183
2003,33,Male,64339640523
2003,34,Male,68686076317
2003,35,Male,69160092653
2003,36,Male,67510620593
2003,37,Male,75179143854
2003,38,Male,74089390643
2003,39,Male,85274012592
2003,40,Male,82778869314
2003,41,Male,72958617927
2003,42,Male,69321734547
2003,43,Male,80421964713
2003,44,Male,62309815350
2003,45,Male,62279391005
2003,46,Male,58951033007
2003,47,Male,53103960289
